Date,Open,High,Low,Close,Adj Close,Volume
2019-04-20,5311.0,5326.0,5311.0,5318.0,5318.0,34351307
2019-04-20,5318.0,5326.0,5313.5,5316.0,5316.0,25497476
2019-04-20,5316.0,5316.0,5295.0,5308.0,5308.0,46502031
2019-04-20,5308.0,5328.0,5307.0,5316.0,5316.0,38930822
2019-04-20,5316.0,5327.5,5311.5,5323.5,5323.5,19394243
2019-04-20,5323.5,5324.0,5303.0,5303.5,5303.5,32222667
2019-04-20,5303.5,5312.5,5303.0,5310.5,5310.5,15665284
2019-04-20,5310.5,5319.0,5307.5,5317.0,5317.0,11458696
2019-04-20,5317.0,5333.0,5301.0,5313.5,5313.5,48581842
2019-04-20,5313.5,5314.0,5250.5,5269.0,5269.0,117109477
2019-04-20,5269.0,5297.0,5269.0,5292.0,5292.0,61109568
2019-04-21,5292.0,5328.5,5290.0,5320.0,5320.0,57019906
2019-04-21,5320.0,5348.0,5317.0,5330.5,5330.5,56423999
2019-04-21,5330.5,5334.0,5325.0,5327.5,5327.5,14276185
2019-04-21,5327.5,5334.0,5326.5,5332.5,5332.5,17536176
2019-04-21,5332.5,5342.5,5332.0,5335.5,5335.5,33259696
2019-04-21,5335.5,5335.5,5322.0,5327.5,5327.5,25505094
2019-04-21,5327.5,5327.5,5313.0,5314.5,5314.5,29177885
2019-04-21,5314.5,5323.5,5311.0,5323.5,5323.5,17972418
2019-04-21,5323.5,5334.0,5315.5,5316.0,5316.0,31191090
2019-04-21,5316.0,5317.5,5279.0,5306.5,5306.5,96627345
2019-04-21,5306.5,5306.5,5222.0,5250.0,5250.0,191676251
2019-04-21,5250.0,5271.0,5232.5,5261.0,5261.0,79802394
2019-04-21,5261.0,5265.0,5247.0,5258.5,5258.5,38768144
2019-04-21,5258.5,5258.5,5205.0,5249.0,5249.0,122756546
2019-04-21,5249.0,5269.5,5248.5,5265.5,5265.5,43090164
2019-04-21,5265.5,5269.5,5256.0,5269.5,5269.5,28530066
2019-04-21,5269.5,5278.5,5262.0,5278.5,5278.5,31848759
2019-04-21,5278.5,5279.5,5265.5,5268.0,5268.0,28470441
2019-04-21,5268.0,5268.0,5249.5,5264.0,5264.0,37957296
2019-04-21,5264.0,5267.5,5226.0,5236.0,5236.0,74897570
2019-04-21,5236.0,5267.5,5229.0,5255.5,5255.5,43207738
2019-04-21,5255.5,5266.0,5228.5,5234.5,5234.5,39619195
2019-04-21,5234.5,5288.0,5233.5,5270.0,5270.0,61768429
2019-04-21,5270.0,5297.5,5267.5,5289.0,5289.0,65594389
2019-04-22,5289.0,5303.5,5271.0,5295.5,5295.5,51300758
2019-04-22,5295.5,5299.0,5289.5,5290.5,5290.5,28950650
2019-04-22,5290.5,5292.5,5260.0,5269.5,5269.5,45888925
2019-04-22,5269.5,5278.5,5261.5,5264.5,5264.5,26354910
2019-04-22,5264.5,5270.5,5256.0,5258.0,5258.0,37730339
2019-04-22,5258.0,5280.0,5258.0,5277.0,5277.0,25645880
2019-04-22,5277.0,5285.0,5271.5,5275.5,5275.5,45307754
2019-04-22,5275.5,5287.0,5266.0,5284.5,5284.5,31031204
2019-04-22,5284.5,5287.5,5277.0,5277.0,5277.0,18610741
2019-04-22,5277.0,5292.0,5277.0,5287.5,5287.5,29593479
2019-04-22,5287.5,5301.5,5271.0,5299.5,5299.5,73621150
2019-04-22,5299.5,5319.0,5293.5,5314.5,5314.5,61907294
2019-04-22,5314.5,5329.5,5308.5,5309.0,5309.0,66504481
2019-04-22,5309.0,5319.0,5307.5,5308.0,5308.0,38058116
2019-04-22,5308.0,5310.5,5296.0,5298.0,5298.0,43010047
2019-04-22,5298.0,5324.0,5295.5,5317.0,5317.0,62398197
2019-04-22,5317.0,5430.0,5275.5,5308.0,5308.0,281823121
2019-04-22,5308.0,5309.5,5275.0,5300.5,5300.5,145611699
2019-04-22,5300.5,5365.5,5300.0,5365.5,5365.5,142613607
2019-04-22,5365.5,5424.0,5363.0,5408.0,5408.0,182082961
2019-04-22,5408.0,5444.0,5351.0,5382.5,5382.5,152140821
2019-04-22,5382.5,5403.0,5355.0,5370.0,5370.0,88209544
2019-04-22,5370.0,5391.5,5355.0,5381.0,5381.0,43993125
2019-04-22,5381.0,5398.0,5376.0,5394.5,5394.5,41741138
2019-04-23,5394.5,5395.0,5372.5,5383.0,5383.0,40394844
2019-04-20,5269.0,5297.0,5269.0,5292.0,5292.0,61109568
2019-04-21,5292.0,5328.5,5290.0,5320.0,5320.0,57019906
2019-04-21,5320.0,5348.0,5317.0,5330.5,5330.5,56423999
2019-04-21,5330.5,5334.0,5325.0,5327.5,5327.5,14276185
2019-04-21,5327.5,5334.0,5326.5,5332.5,5332.5,17536176
2019-04-21,5332.5,5342.5,5332.0,5335.5,5335.5,33259696
2019-04-21,5335.5,5335.5,5322.0,5327.5,5327.5,25505094
2019-04-21,5327.5,5327.5,5313.0,5314.5,5314.5,29177885
2019-04-21,5314.5,5323.5,5311.0,5323.5,5323.5,17972418
2019-04-21,5323.5,5334.0,5315.5,5316.0,5316.0,31191090
2019-04-21,5316.0,5317.5,5279.0,5306.5,5306.5,96627345
2019-04-21,5306.5,5306.5,5222.0,5250.0,5250.0,191676251
2019-04-21,5250.0,5271.0,5232.5,5261.0,5261.0,79802394
2019-04-21,5261.0,5265.0,5247.0,5258.5,5258.5,38768144
2019-04-21,5258.5,5258.5,5205.0,5249.0,5249.0,122756546
2019-04-21,5249.0,5269.5,5248.5,5265.5,5265.5,43090164
2019-04-21,5265.5,5269.5,5256.0,5269.5,5269.5,28530066
2019-04-21,5269.5,5278.5,5262.0,5278.5,5278.5,31848759
2019-04-21,5278.5,5279.5,5265.5,5268.0,5268.0,28470441
2019-04-21,5268.0,5268.0,5249.5,5264.0,5264.0,37957296
2019-04-21,5264.0,5267.5,5226.0,5236.0,5236.0,74897570
2019-04-21,5236.0,5267.5,5229.0,5255.5,5255.5,43207738
2019-04-21,5255.5,5266.0,5228.5,5234.5,5234.5,39619195
2019-04-21,5234.5,5288.0,5233.5,5270.0,5270.0,61768429
2019-04-21,5270.0,5297.5,5267.5,5289.0,5289.0,65594389
2019-04-22,5289.0,5303.5,5271.0,5295.5,5295.5,51300758
2019-04-22,5295.5,5299.0,5289.5,5290.5,5290.5,28950650
2019-04-22,5290.5,5292.5,5260.0,5269.5,5269.5,45888925
2019-04-22,5269.5,5278.5,5261.5,5264.5,5264.5,26354910
2019-04-22,5264.5,5270.5,5256.0,5258.0,5258.0,37730339
2019-04-22,5258.0,5280.0,5258.0,5277.0,5277.0,25645880
2019-04-22,5277.0,5285.0,5271.5,5275.5,5275.5,45307754
2019-04-22,5275.5,5287.0,5266.0,5284.5,5284.5,31031204
2019-04-22,5284.5,5287.5,5277.0,5277.0,5277.0,18610741
2019-04-22,5277.0,5292.0,5277.0,5287.5,5287.5,29593479
2019-04-22,5287.5,5301.5,5271.0,5299.5,5299.5,73621150
2019-04-22,5299.5,5319.0,5293.5,5314.5,5314.5,61907294
2019-04-22,5314.5,5329.5,5308.5,5309.0,5309.0,66504481
2019-04-22,5309.0,5319.0,5307.5,5308.0,5308.0,38058116
2019-04-22,5308.0,5310.5,5296.0,5298.0,5298.0,43010047
2019-04-22,5298.0,5324.0,5295.5,5317.0,5317.0,62398197
2019-04-22,5317.0,5430.0,5275.5,5308.0,5308.0,281823121
2019-04-22,5308.0,5309.5,5275.0,5300.5,5300.5,145611699
2019-04-22,5300.5,5365.5,5300.0,5365.5,5365.5,142613607
2019-04-22,5365.5,5424.0,5363.0,5408.0,5408.0,182082961
2019-04-22,5408.0,5444.0,5351.0,5382.5,5382.5,152140821
2019-04-22,5382.5,5403.0,5355.0,5370.0,5370.0,88209544
2019-04-22,5370.0,5391.5,5355.0,5381.0,5381.0,43993125
2019-04-22,5381.0,5398.0,5376.0,5394.5,5394.5,41741138
2019-04-23,5394.5,5395.0,5372.5,5383.0,5383.0,40394844
2019-04-23,5383.0,5385.0,5365.0,5373.5,5373.5,44876087
2019-04-23,5373.5,5382.5,5373.5,5380.5,5380.5,16022184
2019-04-23,5380.5,5402.5,5380.0,5399.5,5399.5,44617757
2019-04-23,5399.5,5447.0,5399.0,5426.5,5426.5,129139731
2019-04-23,5426.5,5650.0,5426.5,5512.0,5512.0,565037682
2019-04-23,5512.0,5554.0,5500.0,5535.0,5535.0,131207634
2019-04-23,5535.0,5545.5,5509.0,5530.5,5530.5,70610771
2019-04-23,5530.5,5548.0,5525.0,5536.0,5536.0,67875507
2019-04-23,5536.0,5580.5,5536.0,5541.0,5541.0,143519730
2019-04-23,5541.0,5542.5,5505.5,5528.5,5528.5,101130886
2019-04-23,5528.5,5552.0,5528.0,5547.0,5547.0,59706285
2019-04-23,5547.0,5556.0,5534.5,5550.0,5550.0,71776105
2019-04-23,5550.0,5578.5,5546.0,5562.5,5562.5,108685599
2019-04-23,5562.5,5590.0,5554.5,5570.5,5570.5,99714406
2019-04-23,5570.5,5587.5,5562.0,5574.5,5574.5,68314380
2019-04-23,5574.5,5581.5,5546.0,5560.0,5560.0,98722307
2019-04-23,5560.0,5573.0,5545.5,5569.5,5569.5,56781579
2019-04-23,5569.5,5615.5,5564.0,5580.5,5580.5,153520248
2019-04-23,5580.5,5608.5,5580.5,5600.0,5600.0,65583925
2019-04-23,5600.0,5600.5,5564.0,5585.5,5585.5,76070601
2019-04-23,5585.5,5585.5,5554.0,5578.0,5578.0,69008804
2019-04-23,5578.0,5578.0,5564.5,5565.5,5565.5,25312270
2019-04-23,5565.5,5566.0,5515.0,5555.0,5555.0,166041620
2019-04-24,5555.0,5559.0,5529.0,5529.5,5529.5,57607396
2019-04-24,5529.5,5554.0,5528.0,5536.0,5536.0,56565193
2019-04-24,5536.0,5558.0,5492.5,5547.5,5547.5,216321713
2019-04-24,5547.5,5557.5,5542.0,5555.0,5555.0,44466634
2019-04-24,5555.0,5582.0,5555.0,5575.0,5575.0,57822697
2019-04-24,5575.0,5610.0,5567.0,5593.0,5593.0,126322848
2019-04-24,5593.0,5614.5,5576.0,5598.0,5598.0,81256353
2019-04-24,5598.0,5622.5,5582.0,5590.5,5590.5,104390918
2019-04-24,5590.5,5597.0,5360.0,5463.5,5463.5,326251911
2019-04-24,5463.5,5485.0,5421.0,5477.0,5477.0,226097385
2019-04-24,5477.0,5483.0,5456.0,5457.5,5457.5,74599162
2019-04-24,5457.5,5473.5,5405.0,5420.5,5420.5,153674324
2019-04-24,5420.5,5444.0,5375.0,5430.0,5430.0,170764805
